DATA;Row Heading;Column Heading
визуальные и измерительный контроль;№, п.п. | 1;наименование методов контроля
789/9-1372 вик;№, п.п. | 1;№ заключения, протокола, акта
12/12/12;№, п.п. | 1;дата проведения
визуальные и измерительный контроль;№, п.п. | 2;наименование методов контроля
789/9-1372 вик;№, п.п. | 2;№ заключения, протокола, акта
12/12/12;№, п.п. | 2;дата проведения
толщинометрия;№, п.п. | 3;наименование методов контроля
789/9-1372 узт;№, п.п. | 3;№ заключения, протокола, акта
12/12/12;№, п.п. | 3;дата проведения
цветная дефектоскопия;№, п.п. | 4;наименование методов контроля
789/9-1372 пвк;№, п.п. | 4;№ заключения, протокола, акта
12/12/12;№, п.п. | 4;дата проведения
измерение твердости;№, п.п. | 5;наименование методов контроля
789/9-1372 тв;№, п.п. | 5;№ заключения, протокола, акта
12/12/12;№, п.п. | 5;дата проведения
акт испытания сосудов и аппаратов на прочность и плотность;№, п.п. | 6;наименование методов контроля
;№, п.п. | 6;№ заключения, протокола, акта
12/12/12;№, п.п. | 6;дата проведения
акт олперативной (функциональной) диагностики;№, п.п. | 7;наименование методов контроля
;№, п.п. | 7;№ заключения, протокола, акта
12/12/12;№, п.п. | 7;дата проведения
