DATA;Row Heading;Column Heading
паспорт сосуда, работающего под давлением;n, п.п. | 1;наименование документа
теплообменник 1;n, п.п. | 1;шифр, номер, марка или другая индикация, дата создания (действия) документа
109;n, п.п. | 1;объем материала (кол.листов)
чертеж;n, п.п. | 2;наименование документа
б.н;n, п.п. | 2;шифр, номер, марка или другая индикация, дата создания (действия) документа
1;n, п.п. | 2;объем материала (кол.листов)
проверочный расчет;n, п.п. | 3;наименование документа
от 1952 г.;n, п.п. | 3;шифр, номер, марка или другая индикация, дата создания (действия) документа
;n, п.п. | 3;объем материала (кол.листов)
схема включения;n, п.п. | 4;наименование документа
от 2011 г.;n, п.п. | 4;шифр, номер, марка или другая индикация, дата создания (действия) документа
1;n, п.п. | 4;объем материала (кол.листов)
технологический регламент;n, п.п. | 5;наименование документа
тр-1 от12.12.2010;n, п.п. | 5;шифр, номер, марка или другая индикация, дата создания (действия) документа
13;n, п.п. | 5;объем материала (кол.листов)
инструкция по эксплуатации;n, п.п. | 6;наименование документа
32-огт-1;n, п.п. | 6;шифр, номер, марка или другая индикация, дата создания (действия) документа
11;n, п.п. | 6;объем материала (кол.листов)
заключение эпб;n, п.п. | 7;наименование документа
9-122;n, п.п. | 7;шифр, номер, марка или другая индикация, дата создания (действия) документа
38;n, п.п. | 7;объем материала (кол.листов)
заключение эпб;n, п.п. | 8;наименование документа
9-122-2;n, п.п. | 8;шифр, номер, марка или другая индикация, дата создания (действия) документа
50;n, п.п. | 8;объем материала (кол.листов)
