DATA;Row Heading;Column Heading
тк;наименование определяемой величины и ее единицы | остаточный ресурс, лет;расчетная формула или обозначение
20;наименование определяемой величины и ее единицы | остаточный ресурс, лет;числовое значение
sф;наименование определяемой величины и ее единицы | фактическая толщина стенки обечайки с учетом минусового допуска, мм;расчетная формула или обозначение
7?3;наименование определяемой величины и ее единицы | фактическая толщина стенки обечайки с учетом минусового допуска, мм;числовое значение
so;наименование определяемой величины и ее единицы | минимально допустимая толщина стенки элмента, мм;расчетная формула или обозначение
4;наименование определяемой величины и ее единицы | минимально допустимая толщина стенки элмента, мм;числовое значение
sи;наименование определяемой величины и ее единицы | исполнительная толщина стенки обечайки, мм;расчетная формула или обозначение
8;наименование определяемой величины и ее единицы | исполнительная толщина стенки обечайки, мм;числовое значение
t1;наименование определяемой величины и ее единицы | время эксплуатации, лет;расчетная формула или обозначение
27;наименование определяемой величины и ее единицы | время эксплуатации, лет;числовое значение
тир;наименование определяемой величины и ее единицы | расчетный срок службы, лет;расчетная формула или обозначение
10;наименование определяемой величины и ее единицы | расчетный срок службы, лет;числовое значение
к1;наименование определяемой величины и ее единицы | коэффициент, учитывающий отличие средней ожидаемой скорости коррозии от гарантированной скорости коррозии с доверительной вероятностью 0,75-0,9;расчетная формула или обозначение
0,5;наименование определяемой величины и ее единицы | коэффициент, учитывающий отличие средней ожидаемой скорости коррозии от гарантированной скорости коррозии с доверительной вероятностью 0,75-0,9;числовое значение
к2;наименование определяемой величины и ее единицы | коэффициент, учтитывающий погрешность определения скорости коррозии по линейному закону, от скорости коррозии, расчитанной по более точным (нелинейным) законам изменения контролируемого параметра;расчетная формула или обозначение
0,75;наименование определяемой величины и ее единицы | коэффициент, учтитывающий погрешность определения скорости коррозии по линейному закону, от скорости коррозии, расчитанной по более точным (нелинейным) законам изменения контролируемого параметра;числовое значение
а;наименование определяемой величины и ее единицы | скорость коррозии, мм/год;расчетная формула или обозначение
0,1;наименование определяемой величины и ее единицы | скорость коррозии, мм/год;числовое значение
m1;наименование определяемой величины и ее единицы | параметры;расчетная формула или обозначение
17;наименование определяемой величины и ее единицы | параметры;числовое значение
m2;наименование определяемой величины и ее единицы | параметры;расчетная формула или обозначение
33;наименование определяемой величины и ее единицы | параметры;числовое значение
