DATA;Row Heading;Column Heading
24;название элемента | обечайка корпуса;проектная толщина, мм
23,1;название элемента | обечайка корпуса;фактическая минимальная толщина, мм
оао рога и копыта, протокол 3 от 12.12.12;название элемента | обечайка корпуса;"организация, проводившая контроль; номер и дата протокола"
24;название элемента | днище корпуса;проектная толщина, мм
23,5;название элемента | днище корпуса;фактическая минимальная толщина, мм
оао рога и копыта, протокол 5 от 12.12.12;название элемента | днище корпуса;"организация, проводившая контроль; номер и дата протокола"
32;название элемента | обечайка корпуса концевая;проектная толщина, мм
26,2;название элемента | обечайка корпуса концевая;фактическая минимальная толщина, мм
32;название элемента | обечайка коническая;проектная толщина, мм
31,5;название элемента | обечайка коническая;фактическая минимальная толщина, мм
20;название элемента | обечайка распредкамеры;проектная толщина, мм
11,2;название элемента | обечайка распредкамеры;фактическая минимальная толщина, мм
10;название элемента | днище распредкамеры;проектная толщина, мм
19,6;название элемента | днище распредкамеры;фактическая минимальная толщина, мм
32;название элемента | обечайка горловины;проектная толщина, мм
25,6;название элемента | обечайка горловины;фактическая минимальная толщина, мм
оао рога и копыта, протокол 6 от 12.12.12;название элемента | обечайка корпуса концевая;"организация, проводившая контроль; номер и дата протокола"
оао рога и копыта, протокол 6 от 12.12.12;название элемента | обечайка коническая;"организация, проводившая контроль; номер и дата протокола"
оао рога и копыта, протокол 6 от 12.12.12;название элемента | обечайка распредкамеры;"организация, проводившая контроль; номер и дата протокола"
оао рога и копыта, протокол 6 от 12.12.12;название элемента | днище распредкамеры;"организация, проводившая контроль; номер и дата протокола"
оао рога и копыта, протокол 6 от 12.12.12;название элемента | обечайка горловины;"организация, проводившая контроль; номер и дата протокола"
