DATA;Row Heading;Column Heading
программа работ по продлению срока безопасной эксплуатации (технического диагностирования) с приложениями;n п.п | 1.1;наименование методов контроля (документа)
9-122;n п.п | 1.1;n программы, документа, протокола, акта
12/12/16;n п.п | 1.1;дата утверждения, проведения
11;n п.п | 1.1;объем материала (кол.листов)
визуальный и измерительный контроль;n п.п | 1.2;наименование методов контроля (документа)
9-122-вик;n п.п | 1.2;n программы, документа, протокола, акта
12/12/16;n п.п | 1.2;дата утверждения, проведения
1;n п.п | 1.2;объем материала (кол.листов)
толщинометрия;n п.п | 1.3;наименование методов контроля (документа)
9-122-узт;n п.п | 1.3;n программы, документа, протокола, акта
12/13/16;n п.п | 1.3;дата утверждения, проведения
1;n п.п | 1.3;объем материала (кол.листов)
цветная дефектоскопия;n п.п | 1.4;наименование методов контроля (документа)
9-122-пвк;n п.п | 1.4;n программы, документа, протокола, акта
12/14/16;n п.п | 1.4;дата утверждения, проведения
1;n п.п | 1.4;объем материала (кол.листов)
ультразвуковая дефектоскопия;n п.п | 1.5;наименование методов контроля (документа)
9-122-ук;n п.п | 1.5;n программы, документа, протокола, акта
12/15/16;n п.п | 1.5;дата утверждения, проведения
1;n п.п | 1.5;объем материала (кол.листов)
измерение твердости;n п.п | 1.6;наименование методов контроля (документа)
9-122-тв;n п.п | 1.6;n программы, документа, протокола, акта
12/15/16;n п.п | 1.6;дата утверждения, проведения
3;n п.п | 1.6;объем материала (кол.листов)
акустико-эмиссионный контроль;n п.п | 1.7;наименование методов контроля (документа)
9-123;n п.п | 1.7;n программы, документа, протокола, акта
12/15/16;n п.п | 1.7;дата утверждения, проведения
5;n п.п | 1.7;объем материала (кол.листов)
акт оперативной (функциональной) диагностики;n п.п | 1.8;наименование методов контроля (документа)
;n п.п | 1.8;n программы, документа, протокола, акта
12/15/16;n п.п | 1.8;дата утверждения, проведения
1;n п.п | 1.8;объем материала (кол.листов)
