DATA;RowHeading1;ColumnHeading
686,91;all industries excluding unclassified enterprises | other services;2009 current dollars
669,67;all industries excluding unclassified enterprises | other services;2008 current dollars
652,13;all industries excluding unclassified enterprises | other services;2007 current dollars
622,43;all industries excluding unclassified enterprises | other services;2006 current dollars
605,4;all industries excluding unclassified enterprises | other services;2005 current dollars
1 071,16;all industries excluding unclassified enterprises | public administration;2009 current dollars
1 040,51;all industries excluding unclassified enterprises | public administration;2008 current dollars
1 007,53;all industries excluding unclassified enterprises | public administration;2007 current dollars
951,03;all industries excluding unclassified enterprises | public administration;2006 current dollars
925,45;all industries excluding unclassified enterprises | public administration;2005 current dollars
334,81;all industries excluding unclassified enterprises | accommodation and food services;2009 current dollars
331,11;all industries excluding unclassified enterprises | accommodation and food services;2008 current dollars
318,4;all industries excluding unclassified enterprises | accommodation and food services;2007 current dollars
299,73;all industries excluding unclassified enterprises | accommodation and food services;2006 current dollars
288,45;all industries excluding unclassified enterprises | accommodation and food services;2005 current dollars
514,43;all industries excluding unclassified enterprises | arts, entertainment and recreation;2009 current dollars
503,66;all industries excluding unclassified enterprises | arts, entertainment and recreation;2008 current dollars
468,77;all industries excluding unclassified enterprises | arts, entertainment and recreation;2007 current dollars
445,08;all industries excluding unclassified enterprises | arts, entertainment and recreation;2006 current dollars
439,16;all industries excluding unclassified enterprises | arts, entertainment and recreation;2005 current dollars
770,4;all industries excluding unclassified enterprises | health care and social assistance;2009 current dollars
743,94;all industries excluding unclassified enterprises | health care and social assistance;2008 current dollars
705,55;all industries excluding unclassified enterprises | health care and social assistance;2007 current dollars
687,72;all industries excluding unclassified enterprises | health care and social assistance;2006 current dollars
667,4;all industries excluding unclassified enterprises | health care and social assistance;2005 current dollars
877,75;all industries excluding unclassified enterprises | educational services;2009 current dollars
862,64;all industries excluding unclassified enterprises | educational services;2008 current dollars
834,62;all industries excluding unclassified enterprises | educational services;2007 current dollars
808,15;all industries excluding unclassified enterprises | educational services;2006 current dollars
779,6;all industries excluding unclassified enterprises | educational services;2005 current dollars
671,44;all industries excluding unclassified enterprises | administrative and support, waste management and remediation services;2009 current dollars
673,05;all industries excluding unclassified enterprises | administrative and support, waste management and remediation services;2008 current dollars
648,97;all industries excluding unclassified enterprises | administrative and support, waste management and remediation services;2007 current dollars
600,98;all industries excluding unclassified enterprises | administrative and support, waste management and remediation services;2006 current dollars
583,67;all industries excluding unclassified enterprises | administrative and support, waste management and remediation services;2005 current dollars
1 144,86;all industries excluding unclassified enterprises | management of companies and enterprises;2009 current dollars
1 087,91;all industries excluding unclassified enterprises | management of companies and enterprises;2008 current dollars
1 086,16;all industries excluding unclassified enterprises | management of companies and enterprises;2007 current dollars
1 050,28;all industries excluding unclassified enterprises | management of companies and enterprises;2006 current dollars
1 005,19;all industries excluding unclassified enterprises | management of companies and enterprises;2005 current dollars
1 129,10;all industries excluding unclassified enterprises | professional, scientific and technical services;2009 current dollars
1 093,67;all industries excluding unclassified enterprises | professional, scientific and technical services;2008 current dollars
1 060,36;all industries excluding unclassified enterprises | professional, scientific and technical services;2007 current dollars
1 016,41;all industries excluding unclassified enterprises | professional, scientific and technical services;2006 current dollars
989,94;all industries excluding unclassified enterprises | professional, scientific and technical services;2005 current dollars
771,83;all industries excluding unclassified enterprises | real estate and rental and leasing;2009 current dollars
772,87;all industries excluding unclassified enterprises | real estate and rental and leasing;2008 current dollars
756,11;all industries excluding unclassified enterprises | real estate and rental and leasing;2007 current dollars
710,73;all industries excluding unclassified enterprises | real estate and rental and leasing;2006 current dollars
698,06;all industries excluding unclassified enterprises | real estate and rental and leasing;2005 current dollars
1 036,81;all industries excluding unclassified enterprises | finance and insurance;2009 current dollars
1 002,03;all industries excluding unclassified enterprises | finance and insurance;2008 current dollars
998,93;all industries excluding unclassified enterprises | finance and insurance;2007 current dollars
951,17;all industries excluding unclassified enterprises | finance and insurance;2006 current dollars
921,01;all industries excluding unclassified enterprises | finance and insurance;2005 current dollars
1 077,16;all industries excluding unclassified enterprises | information and cultural industries;2009 current dollars
1 003,54;all industries excluding unclassified enterprises | information and cultural industries;2008 current dollars
1 003,44;all industries excluding unclassified enterprises | information and cultural industries;2007 current dollars
955,52;all industries excluding unclassified enterprises | information and cultural industries;2006 current dollars
952,3;all industries excluding unclassified enterprises | information and cultural industries;2005 current dollars
874,69;all industries excluding unclassified enterprises | transportation and warehousing;2009 current dollars
883,28;all industries excluding unclassified enterprises | transportation and warehousing;2008 current dollars
864,51;all industries excluding unclassified enterprises | transportation and warehousing;2007 current dollars
834,4;all industries excluding unclassified enterprises | transportation and warehousing;2006 current dollars
828,07;all industries excluding unclassified enterprises | transportation and warehousing;2005 current dollars
486,7;all industries excluding unclassified enterprises | retail trade;2009 current dollars
475,17;all industries excluding unclassified enterprises | retail trade;2008 current dollars
458,8;all industries excluding unclassified enterprises | retail trade;2007 current dollars
449,86;all industries excluding unclassified enterprises | retail trade;2006 current dollars
441,18;all industries excluding unclassified enterprises | retail trade;2005 current dollars
988,89;all industries excluding unclassified enterprises | wholesale trade;2009 current dollars
956,59;all industries excluding unclassified enterprises | wholesale trade;2008 current dollars
937,14;all industries excluding unclassified enterprises | wholesale trade;2007 current dollars
905,24;all industries excluding unclassified enterprises | wholesale trade;2006 current dollars
865,92;all industries excluding unclassified enterprises | wholesale trade;2005 current dollars
917,73;all industries excluding unclassified enterprises | manufacturing;2009 current dollars
949,54;all industries excluding unclassified enterprises | manufacturing;2008 current dollars
940,67;all industries excluding unclassified enterprises | manufacturing;2007 current dollars
904,69;all industries excluding unclassified enterprises | manufacturing;2006 current dollars
896,35;all industries excluding unclassified enterprises | manufacturing;2005 current dollars
1 048,42;all industries excluding unclassified enterprises | construction;2009 current dollars
1 014,51;all industries excluding unclassified enterprises | construction;2008 current dollars
961,16;all industries excluding unclassified enterprises | construction;2007 current dollars
900,32;all industries excluding unclassified enterprises | construction;2006 current dollars
877,34;all industries excluding unclassified enterprises | construction;2005 current dollars
1 500,79;all industries excluding unclassified enterprises | utilities;2009 current dollars
1 424,73;all industries excluding unclassified enterprises | utilities;2008 current dollars
1 421,49;all industries excluding unclassified enterprises | utilities;2007 current dollars
1 350,66;all industries excluding unclassified enterprises | utilities;2006 current dollars
1 298,32;all industries excluding unclassified enterprises | utilities;2005 current dollars
1 594,04;all industries excluding unclassified enterprises | mining and oil and gas extraction;2009 current dollars
1 527,98;all industries excluding unclassified enterprises | mining and oil and gas extraction;2008 current dollars
1 437,44;all industries excluding unclassified enterprises | mining and oil and gas extraction;2007 current dollars
1 325,73;all industries excluding unclassified enterprises | mining and oil and gas extraction;2006 current dollars
1 296,35;all industries excluding unclassified enterprises | mining and oil and gas extraction;2005 current dollars
853,28;all industries excluding unclassified enterprises | forestry, logging and support;2009 current dollars
935,84;all industries excluding unclassified enterprises | forestry, logging and support;2008 current dollars
907,41;all industries excluding unclassified enterprises | forestry, logging and support;2007 current dollars
902,28;all industries excluding unclassified enterprises | forestry, logging and support;2006 current dollars
883,89;all industries excluding unclassified enterprises | forestry, logging and support;2005 current dollars
823,53;all industries excluding unclassified enterprises;2009 current dollars
810,52;all industries excluding unclassified enterprises;2008 current dollars
788,06;all industries excluding unclassified enterprises;2007 current dollars
755,48;all industries excluding unclassified enterprises;2006 current dollars
737,29;all industries excluding unclassified enterprises;2005 current dollars
