DATA;RowHeading2;ColumnHeading
-6,5;administrative and support service activities;change 2008/2007
-7,6;administrative and support service activities;2009/4
-9,4;administrative and support service activities;2009/3
-1;administrative and support service activities;2009/2
-8,5;administrative and support service activities;2009/1
11,6;administrative and support service activities;2008/4
0,7;administrative and support service activities;2008/3
-0,3;administrative and support service activities;2008/2
8;administrative and support service activities;2008/1
4,6;administrative and support service activities;change 2008/2007
6,4;financial and incurance activities;change 2008/2007
6,9;financial and incurance activities;2009/4
8,5;financial and incurance activities;2009/3
9,2;financial and incurance activities;2009/2
1,1;financial and incurance activities;2009/1
1,7;financial and incurance activities;2008/4
-9,8;financial and incurance activities;2008/3
3,7;financial and incurance activities;2008/2
-5,8;financial and incurance activities;2008/1
-2,6;financial and incurance activities;change 2008/2007
9,4;information and communication;change 2008/2007
1,7;information and communication;2009/4
16,9;information and communication;2009/3
13,5;information and communication;2009/2
4,7;information and communication;2009/1
8,9;information and communication;2008/4
7,4;information and communication;2008/3
7,5;information and communication;2008/2
15,2;information and communication;2008/1
9,6;information and communication;change 2008/2007
-4,5;transportation and storage;change 2008/2007
-7,3;transportation and storage;2009/4
-2,7;transportation and storage;2009/3
-5,1;transportation and storage;2009/2
-3;transportation and storage;2009/1
10,9;transportation and storage;2008/4
11,4;transportation and storage;2008/3
9,9;transportation and storage;2008/2
9,6;transportation and storage;2008/1
10,5;transportation and storage;change 2008/2007
-2,6;wholesale and retail trade;change 2008/2007
-1,2;wholesale and retail trade;2009/4
-2,5;wholesale and retail trade;2009/3
-1,4;wholesale and retail trade;2009/2
-5,1;wholesale and retail trade;2009/1
3,5;wholesale and retail trade;2008/4
8,4;wholesale and retail trade;2008/3
8,2;wholesale and retail trade;2008/2
4,7;wholesale and retail trade;2008/1
6,3;wholesale and retail trade;change 2008/2007
3,5;services;change 2008/2007
1,3;services;2009/4
5,5;services;2009/3
5,6;services;2009/2
1,3;services;2009/1
5,5;services;2008/4
3,8;services;2008/3
4,7;services;2008/2
5;services;2008/1
4,7;services;change 2008/2007
6,8;construction;change 2008/2007
2,3;construction;2009/4
6,6;construction;2009/3
9;construction;2009/2
9,3;construction;2009/1
6,8;construction;2008/4
7,8;construction;2008/3
4,7;construction;2008/2
8,3;construction;2008/1
6,9;construction;change 2008/2007
7,2;metal industry;change 2008/2007
2,1;metal industry;2009/4
10;metal industry;2009/3
15,9;metal industry;2009/2
0,4;metal industry;2009/1
-1,5;metal industry;2008/4
-1,9;metal industry;2008/3
-1,3;metal industry;2008/2
11,2;metal industry;2008/1
1,4;metal industry;change 2008/2007
2,6;chemical industry;change 2008/2007
0,9;chemical industry;2009/4
-0,7;chemical industry;2009/3
8,4;chemical industry;2009/2
1,6;chemical industry;2009/1
-1,1;chemical industry;2008/4
0,9;chemical industry;2008/3
-1,1;chemical industry;2008/2
2,7;chemical industry;2008/1
0,4;chemical industry;change 2008/2007
6,3;forest industry;change 2008/2007
0,4;forest industry;2009/4
5,3;forest industry;2009/3
12,8;forest industry;2009/2
5,6;forest industry;2009/1
3,1;forest industry;2008/4
4,5;forest industry;2008/3
0,8;forest industry;2008/2
2,6;forest industry;2008/1
2,7;forest industry;change 2008/2007
3,5;food industry;change 2008/2007
2,4;food industry;2009/4
2,3;food industry;2009/3
6,5;food industry;2009/2
2,8;food industry;2009/1
0,7;food industry;2008/4
3,5;food industry;2008/3
-0,9;food industry;2008/2
3,6;food industry;2008/1
1,7;food industry;change 2008/2007
5,9;manufacturing;change 2008/2007
1,8;manufacturing;2009/4
6,5;manufacturing;2009/3
12,4;manufacturing;2009/2
2,3;manufacturing;2009/1
0,7;manufacturing;2008/4
1,2;manufacturing;2008/3
0,1;manufacturing;2008/2
8,6;manufacturing;2008/1
2,5;manufacturing;change 2008/2007
5,6;industry;change 2008/2007
1,6;industry;2009/4
6,3;industry;2009/3
12,1;industry;2009/2
2;industry;2009/1
0,1;industry;2008/4
0,8;industry;2008/3
-0,1;industry;2008/2
8,6;industry;2008/1
2,2;industry;change 2008/2007
4,9;total;change 2008/2007
2;total;2009/4
5,6;total;2009/3
8,9;total;2009/2
2,8;total;2009/1
2,9;total;2008/4
2,9;total;2008/3
2;total;2008/2
6,1;total;2008/1
3,5;total;change 2008/2007
