DATA;RowHeading1;ColumnHeading
328 302;total;one-person household
72 657;total;other multiperson household
2 526;total;three- or more family household (with or without other people)
37 083;total;two-family household (with or without other people)
985 542;total;one-family household (with or without other people)
69;area outside region;one-person household
9;area outside region;other multiperson household
0;area outside region;three- or more family household (with or without other people)
6;area outside region;two-family household (with or without other people)
156;area outside region;one-family household (with or without other people)
3 933;marlborough region;one-person household
579;marlborough region;other multiperson household
6;marlborough region;three- or more family household (with or without other people)
228;marlborough region;two-family household (with or without other people)
11 376;marlborough region;one-family household (with or without other people)
4 344;nelson region;one-person household
873;nelson region;other multiperson household
6;nelson region;three- or more family household (with or without other people)
210;nelson region;two-family household (with or without other people)
11 325;nelson region;one-family household (with or without other people)
3 792;tasman region;one-person household
459;tasman region;other multiperson household
3;tasman region;three- or more family household (with or without other people)
255;tasman region;two-family household (with or without other people)
12 060;tasman region;one-family household (with or without other people)
9 042;southland region;one-person household
1 422;southland region;other multiperson household
15;southland region;three- or more family household (with or without other people)
336;southland region;two-family household (with or without other people)
24 132;southland region;one-family household (with or without other people)
18 807;otago region;one-person household
5 295;otago region;other multiperson household
24;otago region;three- or more family household (with or without other people)
777;otago region;two-family household (with or without other people)
48 060;otago region;one-family household (with or without other people)
48 252;canterbury region;one-person household
10 809;canterbury region;other multiperson household
72;canterbury region;three- or more family household (with or without other people)
2 982;canterbury region;two-family household (with or without other people)
135 876;canterbury region;one-family household (with or without other people)
3 600;west coast region;one-person household
495;west coast region;other multiperson household
0;west coast region;three- or more family household (with or without other people)
111;west coast region;two-family household (with or without other people)
8 049;west coast region;one-family household (with or without other people)
40 695;wellington region;one-person household
9 984;wellington region;other multiperson household
189;wellington region;three- or more family household (with or without other people)
3 528;wellington region;two-family household (with or without other people)
110 064;wellington region;one-family household (with or without other people)
21 633;manawatu-wanganui region;one-person household
4 017;manawatu-wanganui region;other multiperson household
48;manawatu-wanganui region;three- or more family household (with or without other people)
1 347;manawatu-wanganui region;two-family household (with or without other people)
55 806;manawatu-wanganui region;one-family household (with or without other people)
10 104;taranaki region;one-person household
1 464;taranaki region;other multiperson household
18;taranaki region;three- or more family household (with or without other people)
588;taranaki region;two-family household (with or without other people)
27 111;taranaki region;one-family household (with or without other people)
13 362;hawke's bay region;one-person household
2 151;hawke's bay region;other multiperson household
78;hawke's bay region;three- or more family household (with or without other people)
1 269;hawke's bay region;two-family household (with or without other people)
36 996;hawke's bay region;one-family household (with or without other people)
3 630;gisborne region;one-person household
594;gisborne region;other multiperson household
36;gisborne region;three- or more family household (with or without other people)
507;gisborne region;two-family household (with or without other people)
10 383;gisborne region;one-family household (with or without other people)
21 192;bay of plenty region;one-person household
3 648;bay of plenty region;other multiperson household
132;bay of plenty region;three- or more family household (with or without other people)
2 283;bay of plenty region;two-family household (with or without other people)
65 661;bay of plenty region;one-family household (with or without other people)
30 351;waikato region;one-person household
6 390;waikato region;other multiperson household
168;waikato region;three- or more family household (with or without other people)
3 114;waikato region;two-family household (with or without other people)
95 073;waikato region;one-family household (with or without other people)
82 821;auckland region;one-person household
22 656;auckland region;other multiperson household
1 683;auckland region;three- or more family household (with or without other people)
18 285;auckland region;two-family household (with or without other people)
296 610;auckland region;one-family household (with or without other people)
12 675;northland region;one-person household
1 818;northland region;other multiperson household
48;northland region;three- or more family household (with or without other people)
1 254;northland region;two-family household (with or without other people)
36 801;northland region;one-family household (with or without other people)
