DATA;RowHeading1;ColumnHeading
-59;province | oulu+lapland;change (%) 2009/iv - 2008/iv
-1 500;province | oulu+lapland;change 2009/iv - 2008/iv
2 500;province | oulu+lapland;year/quarter | 2008/iv
1 700;province | oulu+lapland;year/quarter | 2009/i
3 400;province | oulu+lapland;year/quarter | 2009/ii
1 700;province | oulu+lapland;year/quarter | 2009/iii
1 000;province | oulu+lapland;year/quarter | 2009/iv
-27;province | eastern finland;change (%) 2009/iv - 2008/iv
-300;province | eastern finland;change 2009/iv - 2008/iv
900;province | eastern finland;year/quarter | 2008/iv
2 200;province | eastern finland;year/quarter | 2009/i
1 900;province | eastern finland;year/quarter | 2009/ii
1 600;province | eastern finland;year/quarter | 2009/iii
700;province | eastern finland;year/quarter | 2009/iv
-45;province | western finland;change (%) 2009/iv - 2008/iv
-1 700;province | western finland;change 2009/iv - 2008/iv
3 700;province | western finland;year/quarter | 2008/iv
9 600;province | western finland;year/quarter | 2009/i
8 600;province | western finland;year/quarter | 2009/ii
3 000;province | western finland;year/quarter | 2009/iii
2 100;province | western finland;year/quarter | 2009/iv
17;province | southern finland (excl. uusimaa);change (%) 2009/iv - 2008/iv
300;province | southern finland (excl. uusimaa);change 2009/iv - 2008/iv
1 500;province | southern finland (excl. uusimaa);year/quarter | 2008/iv
2 700;province | southern finland (excl. uusimaa);year/quarter | 2009/i
3 500;province | southern finland (excl. uusimaa);year/quarter | 2009/ii
1 400;province | southern finland (excl. uusimaa);year/quarter | 2009/iii
1 800;province | southern finland (excl. uusimaa);year/quarter | 2009/iv
114;province | uusimaa;change (%) 2009/iv - 2008/iv
1 900;province | uusimaa;change 2009/iv - 2008/iv
1 700;province | uusimaa;year/quarter | 2008/iv
10 500;province | uusimaa;year/quarter | 2009/i
6 700;province | uusimaa;year/quarter | 2009/ii
4 600;province | uusimaa;year/quarter | 2009/iii
3 600;province | uusimaa;year/quarter | 2009/iv
-12;province | total;change (%) 2009/iv - 2008/iv
-1 300;province | total;change 2009/iv - 2008/iv
10 400;province | total;year/quarter | 2008/iv
26 700;province | total;year/quarter | 2009/i
24 100;province | total;year/quarter | 2009/ii
12 400;province | total;year/quarter | 2009/iii
9 100;province | total;year/quarter | 2009/iv
