DATA;RowHeading1;ColumnHeading
7 615;females - all occupations | occupations unique to processing, manufacturing and utilities;2006 | n.b. number
7 170;females - all occupations | occupations unique to processing, manufacturing and utilities;2006 | n.s. number
1 825;females - all occupations | occupations unique to processing, manufacturing and utilities;2006 | p.e.i. number
6 020;females - all occupations | occupations unique to processing, manufacturing and utilities;2006 | n.l. number
330 335;females - all occupations | occupations unique to processing, manufacturing and utilities;2006 | canada number
3 150;females - all occupations | occupations unique to primary industry;2006 | n.b. number
3 685;females - all occupations | occupations unique to primary industry;2006 | n.s. number
1 730;females - all occupations | occupations unique to primary industry;2006 | p.e.i. number
3 040;females - all occupations | occupations unique to primary industry;2006 | n.l. number
144 525;females - all occupations | occupations unique to primary industry;2006 | canada number
2 855;females - all occupations | trades, transport and equipment operators and related occupations;2006 | n.b. number
3 520;females - all occupations | trades, transport and equipment operators and related occupations;2006 | n.s. number
820;females - all occupations | trades, transport and equipment operators and related occupations;2006 | p.e.i. number
2 075;females - all occupations | trades, transport and equipment operators and related occupations;2006 | n.l. number
175 690;females - all occupations | trades, transport and equipment operators and related occupations;2006 | canada number
58 495;females - all occupations | sales and service occupations;2006 | n.b. number
73 050;females - all occupations | sales and service occupations;2006 | n.s. number
10 655;females - all occupations | sales and service occupations;2006 | p.e.i. number
40 155;females - all occupations | sales and service occupations;2006 | n.l. number
2 321 255;females - all occupations | sales and service occupations;2006 | canada number
4 080;females - all occupations | occupations in art, culture, recreation and sport;2006 | n.b. number
7 300;females - all occupations | occupations in art, culture, recreation and sport;2006 | n.s. number
965;females - all occupations | occupations in art, culture, recreation and sport;2006 | p.e.i. number
2 710;females - all occupations | occupations in art, culture, recreation and sport;2006 | n.l. number
276 855;females - all occupations | occupations in art, culture, recreation and sport;2006 | canada number
18 840;females - all occupations | occupations in social science, education, government service and religion;2006 | n.b. number
26 180;females - all occupations | occupations in social science, education, government service and religion;2006 | n.s. number
4 310;females - all occupations | occupations in social science, education, government service and religion;2006 | p.e.i. number
12 760;females - all occupations | occupations in social science, education, government service and religion;2006 | n.l. number
963 175;females - all occupations | occupations in social science, education, government service and religion;2006 | canada number
20 205;females - all occupations | health occupations;2006 | n.b. number
