DATA;RowHeading1;ColumnHeading
108,9;canada | victoria (b.c.);2009 (1997=100)
118,1;canada | victoria (b.c.);2008 (1997=100)
118,2;canada | victoria (b.c.);2007 (1997=100)
117,7;canada | victoria (b.c.);2006 (1997=100)
113,3;canada | victoria (b.c.);2005 (1997=100)
115,7;canada | vancouver (b.c.);2009 (1997=100)
123,5;canada | vancouver (b.c.);2008 (1997=100)
120,7;canada | vancouver (b.c.);2007 (1997=100)
112,7;canada | vancouver (b.c.);2006 (1997=100)
105,4;canada | vancouver (b.c.);2005 (1997=100)
210,3;canada | edmonton (alta.);2009 (1997=100)
236,8;canada | edmonton (alta.);2008 (1997=100)
234,4;canada | edmonton (alta.);2007 (1997=100)
177,5;canada | edmonton (alta.);2006 (1997=100)
137,7;canada | edmonton (alta.);2005 (1997=100)
231,6;canada | calgary (alta.);2009 (1997=100)
248,2;canada | calgary (alta.);2008 (1997=100)
246,6;canada | calgary (alta.);2007 (1997=100)
212,2;canada | calgary (alta.);2006 (1997=100)
147,8;canada | calgary (alta.);2005 (1997=100)
213,3;canada | saskatoon (sask.);2009 (1997=100)
230,9;canada | saskatoon (sask.);2008 (1997=100)
191,5;canada | saskatoon (sask.);2007 (1997=100)
138;canada | saskatoon (sask.);2006 (1997=100)
126,5;canada | saskatoon (sask.);2005 (1997=100)
251,6;canada | regina (sask.);2009 (1997=100)
238,3;canada | regina (sask.);2008 (1997=100)
188,8;canada | regina (sask.);2007 (1997=100)
154,5;canada | regina (sask.);2006 (1997=100)
142,2;canada | regina (sask.);2005 (1997=100)
182,5;canada | winnipeg (man.);2009 (1997=100)
178;canada | winnipeg (man.);2008 (1997=100)
161,5;canada | winnipeg (man.);2007 (1997=100)
144,5;canada | winnipeg (man.);2006 (1997=100)
132;canada | winnipeg (man.);2005 (1997=100)
112,6;canada | greater sudbury / grand sudbury and thunder bay (ont.);2009 (1997=100)
111,9;canada | greater sudbury / grand sudbury and thunder bay (ont.);2008 (1997=100)
106,1;canada | greater sudbury / grand sudbury and thunder bay (ont.);2007 (1997=100)
101,7;canada | greater sudbury / grand sudbury and thunder bay (ont.);2006 (1997=100)
100;canada | greater sudbury / grand sudbury and thunder bay (ont.);2005 (1997=100)
103,7;canada | windsor (ont.);2009 (1997=100)
103,6;canada | windsor (ont.);2008 (1997=100)
103,2;canada | windsor (ont.);2007 (1997=100)
105,4;canada | windsor (ont.);2006 (1997=100)
105,5;canada | windsor (ont.);2005 (1997=100)
143;canada | kitchener (ont.);2009 (1997=100)
142,2;canada | kitchener (ont.);2008 (1997=100)
138,8;canada | kitchener (ont.);2007 (1997=100)
136,8;canada | kitchener (ont.);2006 (1997=100)
131,4;canada | kitchener (ont.);2005 (1997=100)
144,4;canada | london (ont.);2009 (1997=100)
142,4;canada | london (ont.);2008 (1997=100)
137,6;canada | london (ont.);2007 (1997=100)
132,8;canada | london (ont.);2006 (1997=100)
126,3;canada | london (ont.);2005 (1997=100)
155,7;canada | st. catharines–niagara (ont.);2009 (1997=100)
156,6;canada | st. catharines–niagara (ont.);2008 (1997=100)
150,1;canada | st. catharines–niagara (ont.);2007 (1997=100)
144,2;canada | st. catharines–niagara (ont.);2006 (1997=100)
137,8;canada | st. catharines–niagara (ont.);2005 (1997=100)
150,9;canada | hamilton (ont.);2009 (1997=100)
152,5;canada | hamilton (ont.);2008 (1997=100)
148,4;canada | hamilton (ont.);2007 (1997=100)
142;canada | hamilton (ont.);2006 (1997=100)
134,6;canada | hamilton (ont.);2005 (1997=100)
145,8;canada | toronto and oshawa (ont.);2009 (1997=100)
146;canada | toronto and oshawa (ont.);2008 (1997=100)
