DATA;RowHeading3;RowHeading2;RowHeading1;ColumnHeading
57 947;total, all commodities;;;imports
16 597;total, all commodities;;;exports
74 544;total, all commodities;;;total
90;top ten share of all commodities (percent);;;imports
79;top ten share of all commodities (percent);;;exports
87;top ten share of all commodities (percent);;;total
52 006;total, top ten commodities;;;imports
13 058;total, top ten commodities;;;exports
65 064;total, top ten commodities;;;total
1 219;*nuclear reactors, boilers, machinery and parts;84;10;imports
379;*nuclear reactors, boilers, machinery and parts;84;10;exports
1 597;*nuclear reactors, boilers, machinery and parts;84;10;total
904;iron and steel;72;9;imports
812;iron and steel;72;9;exports
1 717;iron and steel;72;9;total
1 803;pulp of wood or of other fibrous cellulosic material;47;8;imports
155;pulp of wood or of other fibrous cellulosic material;47;8;exports
1 958;pulp of wood or of other fibrous cellulosic material;47;8;total
1 701;mineral fuels, oils and waxes;27;7;imports
301;mineral fuels, oils and waxes;27;7;exports
2 002;mineral fuels, oils and waxes;27;7;total
2 208;aluminum and articles thereof;76;6;imports
80;aluminum and articles thereof;76;6;exports
2 288;aluminum and articles thereof;76;6;total
1 527;organic chemicals;29;5;imports
1 241;organic chemicals;29;5;exports
2 767;organic chemicals;29;5;total
3 397;paper and paperboard;48;4;imports
377;paper and paperboard;48;4;exports
3 774;paper and paperboard;48;4;total
2 587;plastics and articles thereof;39;3;imports
1 741;plastics and articles thereof;39;3;exports
4 328;plastics and articles thereof;39;3;total
7 711;wood and articles;44;2;imports
138;wood and articles;44;2;exports
7 849;wood and articles;44;2;total
28 950;motor vehicles and parts;87;1;imports
7 835;motor vehicles and parts;87;1;exports
36 785;motor vehicles and parts;87;1;total
