DATA;RowHeading1;ColumnHeading
-11.3;canada | ottawa-gatineau (que. part);1st quarter 2009 to 1st quarter 2010 seasonally adjusted %
-13.6;canada | ottawa-gatineau (que. part);4th quarter 2009 to 1st quarter 2010 seasonally adjusted %
69.2;canada | ottawa-gatineau (que. part);1st quarter 2010
80.2;canada | ottawa-gatineau (que. part);4th quarter 2009
78.0;canada | ottawa-gatineau (que. part);1st quarter 2009 seasonally adjusted $ millions
-9.3;canada | montr?al (que.);1st quarter 2009 to 1st quarter 2010 seasonally adjusted %
-2.7;canada | montr?al (que.);4th quarter 2009 to 1st quarter 2010 seasonally adjusted %
793.9;canada | montr?al (que.);1st quarter 2010
815.7;canada | montr?al (que.);4th quarter 2009
875.6;canada | montr?al (que.);1st quarter 2009 seasonally adjusted $ millions
0.3;canada | trois-rivi?res (que.);1st quarter 2009 to 1st quarter 2010 seasonally adjusted %
-11.5;canada | trois-rivi?res (que.);4th quarter 2009 to 1st quarter 2010 seasonally adjusted %
51.5;canada | trois-rivi?res (que.);1st quarter 2010
58.2;canada | trois-rivi?res (que.);4th quarter 2009
51.4;canada | trois-rivi?res (que.);1st quarter 2009 seasonally adjusted $ millions
-4.0;canada | sherbrooke (que.);1st quarter 2009 to 1st quarter 2010 seasonally adjusted %
-1.8;canada | sherbrooke (que.);4th quarter 2009 to 1st quarter 2010 seasonally adjusted %
49.3;canada | sherbrooke (que.);1st quarter 2010
50.2;canada | sherbrooke (que.);4th quarter 2009
51.4;canada | sherbrooke (que.);1st quarter 2009 seasonally adjusted $ millions
-14.3;canada | qu?bec (que.);1st quarter 2009 to 1st quarter 2010 seasonally adjusted %
-13.8;canada | qu?bec (que.);4th quarter 2009 to 1st quarter 2010 seasonally adjusted %
231.0;canada | qu?bec (que.);1st quarter 2010
268.0;canada | qu?bec (que.);4th quarter 2009
269.6;canada | qu?bec (que.);1st quarter 2009 seasonally adjusted $ millions
14.6;canada | saguenay (que.);1st quarter 2009 to 1st quarter 2010 seasonally adjusted %
-20.0;canada | saguenay (que.);4th quarter 2009 to 1st quarter 2010 seasonally adjusted %
56.3;canada | saguenay (que.);1st quarter 2010
70.4;canada | saguenay (que.);4th quarter 2009
49.1;canada | saguenay (que.);1st quarter 2009 seasonally adjusted $ millions
38.6;canada | saint john (n.b.);1st quarter 2009 to 1st quarter 2010 seasonally adjusted %
-8.1;canada | saint john (n.b.);4th quarter 2009 to 1st quarter 2010 seasonally adjusted %
52.6;canada | saint john (n.b.);1st quarter 2010
57.3;canada | saint john (n.b.);4th quarter 2009
37.9;canada | saint john (n.b.);1st quarter 2009 seasonally adjusted $ millions
1.5;canada | halifax (n.s.);1st quarter 2009 to 1st quarter 2010 seasonally adjusted %
-2.8;canada | halifax (n.s.);4th quarter 2009 to 1st quarter 2010 seasonally adjusted %
99.8;canada | halifax (n.s.);1st quarter 2010
102.7;canada | halifax (n.s.);4th quarter 2009
98.4;canada | halifax (n.s.);1st quarter 2009 seasonally adjusted $ millions
-30.1;canada | st.john's (n.l.);1st quarter 2009 to 1st quarter 2010 seasonally adjusted %
3.1;canada | st.john's (n.l.);4th quarter 2009 to 1st quarter 2010 seasonally adjusted %
39.8;canada | st.john's (n.l.);1st quarter 2010
38.6;canada | st.john's (n.l.);4th quarter 2009
56.9;canada | st.john's (n.l.);1st quarter 2009 seasonally adjusted $ millions
-5.7;canada;1st quarter 2009 to 1st quarter 2010 seasonally adjusted %
-0.7;canada;4th quarter 2009 to 1st quarter 2010 seasonally adjusted %
10,330.2;canada;1st quarter 2010
10,402.3;canada;4th quarter 2009
10,955.3;canada;1st quarter 2009 seasonally adjusted $ millions
