DATA;RowHeading1;ColumnHeading
-97 936;surplus or deficit;2009 | n.b. $ thousands
-33 533;surplus or deficit;2009 | n.s. $ thousands
218;surplus or deficit;2009 | p.e.i. $ thousands
18 204;surplus or deficit;2009 | n.l. $ thousands
-722 988;surplus or deficit;2009 | canada $ thousands
0;total expenditures | housing;2009 | n.b. $ thousands
0;total expenditures | housing;2009 | n.s. $ thousands
0;total expenditures | housing;2009 | p.e.i. $ thousands
0;total expenditures | housing;2009 | n.l. $ thousands
0;total expenditures | housing;2009 | canada $ thousands
0;total expenditures | protection of persons and property;2009 | n.b. $ thousands
0;total expenditures | protection of persons and property;2009 | n.s. $ thousands
5 249;total expenditures | protection of persons and property;2009 | p.e.i. $ thousands
0;total expenditures | protection of persons and property;2009 | n.l. $ thousands
5 249;total expenditures | protection of persons and property;2009 | canada $ thousands
859;total expenditures | debt charges;2009 | n.s. $ thousands
862;total expenditures | debt charges;2009 | n.l. $ thousands
278 949;total expenditures | debt charges;2009 | canada $ thousands
32 076;total expenditures | social services | other social services;2009 | n.b. $ thousands
133 006;total expenditures | social services | other social services;2009 | n.s. $ thousands
256 665;total expenditures | social services | other social services;2009 | n.l. $ thousands
9 108 917;total expenditures | social services | other social services;2009 | canada $ thousands
0;total expenditures | social services | social assistance;2009 | n.b. $ thousands
0;total expenditures | social services | social assistance;2009 | n.s. $ thousands
2 815;total expenditures | social services | social assistance;2009 | n.l. $ thousands
3 299;total expenditures | social services | social assistance;2009 | canada $ thousands
32 076;total expenditures | social services;2009 | n.b. $ thousands
133 006;total expenditures | social services;2009 | n.s. $ thousands
259 480;total expenditures | social services;2009 | n.l. $ thousands
9 112 216;total expenditures | social services;2009 | canada $ thousands
436 084;total expenditures | health | other health services;2009 | n.b. $ thousands
569 055;total expenditures | health | other health services;2009 | n.s. $ thousands
5 872;total expenditures | health | other health services;2009 | p.e.i. $ thousands
291 722;total expenditures | health | other health services;2009 | n.l. $ thousands
15 905 290;total expenditures | health | other health services;2009 | canada $ thousands
283;total expenditures | health | preventive care;2009 | p.e.i. $ thousands
9 961;total expenditures | health | preventive care;2009 | n.l. $ thousands
1 636 130;total expenditures | health | preventive care;2009 | canada $ thousands
469 382;total expenditures | health | medical care;2009 | n.b. $ thousands
614 092;total expenditures | health | medical care;2009 | n.s. $ thousands
505 185;total expenditures | health | medical care;2009 | n.l. $ thousands
16 558 004;total expenditures | health | medical care;2009 | canada $ thousands
1 070 650;total expenditures | health | hospital care;2009 | n.b. $ thousands
1 135 669;total expenditures | health | hospital care;2009 | n.s. $ thousands
659 850;total expenditures | health | hospital care;2009 | n.l. $ thousands
37 336 376;total expenditures | health | hospital care;2009 | canada $ thousands
1 976 115;total expenditures | health;2009 | n.b. $ thousands
2 318 816;total expenditures | health;2009 | n.s. $ thousands
5 872;total expenditures | health;2009 | p.e.i. $ thousands
1 466 717;total expenditures | health;2009 | n.l. $ thousands
71 435 800;total expenditures | health;2009 | canada $ thousands
2 008 191;total expenditures;2009 | n.b. $ thousands
2 452 681;total expenditures;2009 | n.s. $ thousands
5 872;total expenditures;2009 | p.e.i. $ thousands
1 727 059;total expenditures;2009 | n.l. $ thousands
80 826 966;total expenditures;2009 | canada $ thousands
0;total revenue | transfers from other levels of government | other health and social services;2009 | n.b. $ thousands
0;total revenue | transfers from other levels of government | other health and social services;2009 | n.s. $ thousands
0;total revenue | transfers from other levels of government | other health and social services;2009 | p.e.i. $ thousands
0;total revenue | transfers from other levels of government | other health and social services;2009 | n.l. $ thousands
18 466;total revenue | transfers from other levels of government | local governments;2009 | n.b. $ thousands
3 691;total revenue | transfers from other levels of government | local governments;2009 | n.s. $ thousands
7 580;total revenue | transfers from other levels of government | local governments;2009 | n.l. $ thousands
302 269;total revenue | transfers from other levels of government | local governments;2009 | canada $ thousands
1 597 910;total revenue | transfers from other levels of government | provincial governments;2009 | n.b. $ thousands
2 061 419;total revenue | transfers from other levels of government | provincial governments;2009 | n.s. $ thousands
5 150;total revenue | transfers from other levels of government | provincial governments;2009 | p.e.i. $ thousands
1 554 067;total revenue | transfers from other levels of government | provincial governments;2009 | n.l. $ thousands
67 686 684;total revenue | transfers from other levels of government | provincial governments;2009 | canada $ thousands
0;total revenue | transfers from other levels of government | federal government;2009 | n.b. $ thousands
0;total revenue | transfers from other levels of government | federal government;2009 | n.s. $ thousands
0;total revenue | transfers from other levels of government | federal government;2009 | p.e.i. $ thousands
974;total revenue | transfers from other levels of government | federal government;2009 | n.l. $ thousands
7 361;total revenue | transfers from other levels of government | federal government;2009 | canada $ thousands
1 616 376;total revenue | transfers from other levels of government;2009 | n.b. $ thousands
2 065 109;total revenue | transfers from other levels of government;2009 | n.s. $ thousands
5 150;total revenue | transfers from other levels of government;2009 | p.e.i. $ thousands
1 562 622;total revenue | transfers from other levels of government;2009 | n.l. $ thousands
67 996 314;total revenue | transfers from other levels of government;2009 | canada $ thousands
55 778;total revenue | own source revenue | other own source revenue;2009 | n.b. $ thousands
34 090;total revenue | own source revenue | other own source revenue;2009 | n.s. $ thousands
13;total revenue | own source revenue | other own source revenue;2009 | p.e.i. $ thousands
11 299;total revenue | own source revenue | other own source revenue;2009 | n.l. $ thousands
1 774 461;total revenue | own source revenue | other own source revenue;2009 | canada $ thousands
2 147;total revenue | own source revenue | investment income;2009 | n.b. $ thousands
6 408;total revenue | own source revenue | investment income;2009 | n.s. $ thousands
108;total revenue | own source revenue | investment income;2009 | p.e.i. $ thousands
999;total revenue | own source revenue | investment income;2009 | n.l. $ thousands
208 214;total revenue | own source revenue | investment income;2009 | canada $ thousands
235 955;total revenue | own source revenue | sales of goods and services;2009 | n.b. $ thousands
313 540;total revenue | own source revenue | sales of goods and services;2009 | n.s. $ thousands
819;total revenue | own source revenue | sales of goods and services;2009 | p.e.i. $ thousands
170 342;total revenue | own source revenue | sales of goods and services;2009 | n.l. $ thousands
10 124 989;total revenue | own source revenue | sales of goods and services;2009 | canada $ thousands
293 880;total revenue | own source revenue;2009 | n.b. $ thousands
354 038;total revenue | own source revenue;2009 | n.s. $ thousands
940;total revenue | own source revenue;2009 | p.e.i. $ thousands
