DATA;RowHeading1;ColumnHeading
4,1;revenues | property tax as a percentage of gross operating income;per cent change | 2007-2008
8,3;revenues | property tax as a percentage of gross operating income;per cent change | 2006-2007
2,4;revenues | property tax as a percentage of gross operating income;2008
2,3;revenues | property tax as a percentage of gross operating income;2007
2,1;revenues | property tax as a percentage of gross operating income;2006
3,5;revenues | percentage of the property tax from other real estate;per cent change | 2007-2008
39,9;revenues | percentage of the property tax from other real estate;2008
38,6;revenues | percentage of the property tax from other real estate;2007
-2,2;revenues | percentage of the property tax from mills and factories;per cent change | 2007-2008
60,1;revenues | percentage of the property tax from mills and factories;2008
61,4;revenues | percentage of the property tax from mills and factories;2007
14,8;revenues | property tax from other real estate. nok thousand;per cent change | 2007-2008
2 467 035;revenues | property tax from other real estate. nok thousand;2008
2 148 696;revenues | property tax from other real estate. nok thousand;2007
8,8;revenues | property tax from mills and factories. nok thousand;per cent change | 2007-2008
3 722 113;revenues | property tax from mills and factories. nok thousand;2008
3 422 085;revenues | property tax from mills and factories. nok thousand;2007
11,1;revenues | property tax in total. nok thousand;per cent change | 2007-2008
13,9;revenues | property tax in total. nok thousand;per cent change | 2006-2007
6 189 148;revenues | property tax in total. nok thousand;2008
5 570 781;revenues | property tax in total. nok thousand;2007
4 891 319;revenues | property tax in total. nok thousand;2006
9,9;extent and use | average property tax paid on a house measuring 120 square meters located close to the municipalitys's centre. nok;per cent change | 2007-2008
2 188;extent and use | average property tax paid on a house measuring 120 square meters located close to the municipalitys's centre. nok;2008
1 990;extent and use | average property tax paid on a house measuring 120 square meters located close to the municipalitys's centre. nok;2007
4,4;extent and use | municipalities with a property tax exemption for new houses;per cent change | 2007-2008
71;extent and use | municipalities with a property tax exemption for new houses;2008
68;extent and use | municipalities with a property tax exemption for new houses;2007
3,3;extent and use | municipalities wtih a basic deduction;per cent change | 2007-2008
62;extent and use | municipalities wtih a basic deduction;2008
60;extent and use | municipalities wtih a basic deduction;2007
50;extent and use | municipalities with differentiated tax rate;per cent change | 2007-2008
33;extent and use | municipalities with differentiated tax rate;2008
22;extent and use | municipalities with differentiated tax rate;2007
-2,6;extent and use | average general tax rate in the municipalities with property tax. per thousand;per cent change | 2007-2008
5,9;extent and use | average general tax rate in the municipalities with property tax. per thousand;2008
6,1;extent and use | average general tax rate in the municipalities with property tax. per thousand;2007
50,9;extent and use | municipalities with property tax in the municipality as a whole;per cent change | 2007-2008
83;extent and use | municipalities with property tax in the municipality as a whole;2008
55;extent and use | municipalities with property tax in the municipality as a whole;2007
-18,8;extent and use | municipalities with property tax on both mills and factories and areas build in a townish manner;per cent change | 2007-2008
65;extent and use | municipalities with property tax on both mills and factories and areas build in a townish manner;2008
80;extent and use | municipalities with property tax on both mills and factories and areas build in a townish manner;2007
5,8;extent and use | municipalities with property tax on mills and factories;per cent change | 2007-2008
145;extent and use | municipalities with property tax on mills and factories;2008
137;extent and use | municipalities with property tax on mills and factories;2007
7,7;extent and use | municipalities with property tax;per cent change | 2007-2008
293;extent and use | municipalities with property tax;2008
272;extent and use | municipalities with property tax;2007
