DATA;RowHeading1;ColumnHeading
32;h: electricity;european patents validated in finland | finnish assignees
890;h: electricity;european patents validated in finland | total
132;h: electricity;patents granted in finland | finnish assignees
190;h: electricity;patents granted in finland | total
18;g: physics;european patents validated in finland | finnish assignees
463;g: physics;european patents validated in finland | total
118;g: physics;patents granted in finland | finnish assignees
137;g: physics;patents granted in finland | total
5;f: mechanical engineering;european patents validated in finland | finnish assignees
244;f: mechanical engineering;european patents validated in finland | total
69;f: mechanical engineering;patents granted in finland | finnish assignees
78;f: mechanical engineering;patents granted in finland | total
9;e: fixed constructions;european patents validated in finland | finnish assignees
201;e: fixed constructions;european patents validated in finland | total
27;e: fixed constructions;patents granted in finland | finnish assignees
31;e: fixed constructions;patents granted in finland | total
11;d: textiles, paper;european patents validated in finland | finnish assignees
212;d: textiles, paper;european patents validated in finland | total
99;d: textiles, paper;patents granted in finland | finnish assignees
119;d: textiles, paper;patents granted in finland | total
23;c: chemistry, metallurgy;european patents validated in finland | finnish assignees
1251;c: chemistry, metallurgy;european patents validated in finland | total
47;c: chemistry, metallurgy;patents granted in finland | finnish assignees
127;c: chemistry, metallurgy;patents granted in finland | total
21;b: performing operations, transporting;european patents validated in finland | finnish assignees
840;b: performing operations, transporting;european patents validated in finland | total
179;b: performing operations, transporting;patents granted in finland | finnish assignees
195;b: performing operations, transporting;patents granted in finland | total
24;a: human necessities;european patents validated in finland | finnish assignees
1109;a: human necessities;european patents validated in finland | total
58;a: human necessities;patents granted in finland | finnish assignees
121;a: human necessities;patents granted in finland | total
143;total of patents granted;european patents validated in finland | finnish assignees
5210;total of patents granted;european patents validated in finland | total
729;total of patents granted;patents granted in finland | finnish assignees
998;total of patents granted;patents granted in finland | total
